RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
52.79089,-27.8737,99.3632,200.7,234.7,5.01,0.002931,19,63,0,0.965,184,aless41,allspw
52.80014,-27.87461,87.9098,82.9,221.6,4.93,0.0021,13,66,0,0.712,185,aless41,allspw
52.7959,-27.87747,86.0192,136.9,180.5,4.92,0.002583,19,67,0,0.931,186,aless41,allspw
52.79093,-27.87379,84.9879,200.2,233.4,4.89,0.002114,19,77,0,0.915,187,aless41,allspw
52.79958,-27.86677,85.7848,90.1,334.6,4.84,0.002794,19,90,0,0.883,188,aless41,allspw
52.78824,-27.88089,99.4101,234.5,131.2,4.81,0.002308,13,97,0,0.655,189,aless41,allspw
52.80547,-27.87268,87.4723,15.1,249.3,4.8,0.002338,19,99,0,0.851,190,aless41,allspw
52.79769,-27.8679,100.0038,114.1,318.3,4.78,0.002754,19,104,0,0.834,191,aless41,allspw
52.7805,-27.87476,98.2226,333,219.5,4.74,0.002641,19,116,0,0.794,192,aless41,allspw
52.79085,-27.87373,99.9101,201.2,234.3,4.73,0.00267,19,118,0,0.784,193,aless41,allspw
52.79086,-27.87368,86.191,201.1,235,4.73,0.002481,19,119,0,0.784,194,aless41,allspw
52.80152,-27.87974,85.6129,65.4,147.7,4.7,0.00276,19,127,0,0.75,195,aless41,allspw
52.7848,-27.88191,87.2067,278.2,116.5,4.68,0.002265,19,131,0,0.726,196,aless41,allspw
52.78781,-27.87646,98.2694,239.8,195,4.66,0.002663,19,142,0,0.7,197,aless41,allspw
52.79081,-27.87371,98.4726,201.7,234.6,4.64,0.002292,19,147,0,0.674,198,aless41,allspw
52.85295,-27.84637,87.6598,175,163.6,25.14,0.013938,13,0,1,1,199,aless49,allspw
52.85291,-27.84637,87.7692,175.5,163.7,19.64,0.011894,19,1,1,1,200,aless49,allspw
52.85295,-27.84639,87.5504,175,163.4,18.27,0.010307,19,2,1,1,201,aless49,allspw
52.85286,-27.84638,87.8786,176.1,163.5,7.3,0.004009,19,3,1,1,202,aless49,allspw
52.85292,-27.8464,87.4411,175.3,163.2,7.18,0.003613,19,4,1,1,203,aless49,allspw
52.85292,-27.84546,87.9879,175.4,176.8,6.16,0.002551,11,5,0.954,1,204,aless49,allspw
52.86092,-27.85384,98.9413,73.6,56.2,5.96,0.00156,5,6,0.842,0.957,205,aless49,allspw
52.85127,-27.84234,96.8006,196.4,221.8,5.66,0.002106,15,7,0.493,0.972,206,aless49,allspw
52.8529,-27.83717,88.0504,175.6,296.1,5.59,0.002668,15,8,0.399,0.965,207,aless49,allspw
52.84234,-27.8488,96.9256,310.1,128.7,5.46,0.002455,13,9,0.243,0.996,208,aless49,allspw
52.84375,-27.85423,99.8788,292.1,50.5,5.36,0.003116,19,11,0.15,0.917,209,aless49,allspw
52.85451,-27.84151,86.0817,155.2,233.6,5.26,0.002359,13,13,0.084,0.612,210,aless49,allspw
52.8519,-27.85345,85.1129,188.3,61.7,5.24,0.002164,11,14,0.074,0.9,211,aless49,allspw
52.84002,-27.84472,86.6598,339.7,187.5,5.21,0.00158,11,15,0.061,0.888,212,aless49,allspw
52.86226,-27.83659,99.2851,56.5,304.5,5.15,0.002931,19,16,0.04,0.659,213,aless49,allspw
52.85433,-27.84522,98.4882,157.4,180.3,5.14,0.00253,19,17,0.037,0.642,214,aless49,allspw
52.84867,-27.8359,86.6442,229.5,314.4,5.06,0.001999,15,22,0.02,0.85,215,aless49,allspw
52.86006,-27.83628,88.2379,84.5,309,4.96,0.001984,11,30,0.008,0.745,216,aless49,allspw
52.85527,-27.84649,98.8788,145.5,162,4.95,0.002375,15,32,0.008,0.809,217,aless49,allspw
52.85448,-27.83957,86.6598,155.5,261.6,4.94,0.001968,15,35,0.007,0.805,218,aless49,allspw
52.84299,-27.84327,86.441,301.8,208.3,4.84,0.002226,15,45,0.003,0.762,219,aless49,allspw
52.84324,-27.84907,86.9098,298.6,124.7,4.76,0.002179,15,56,0.001,0.724,220,aless49,allspw
52.84706,-27.83365,98.5819,250,346.9,4.75,0.001983,15,59,0.001,0.719,221,aless49,allspw
52.85036,-27.85601,99.1601,207.9,24.8,4.7,0.002299,15,73,0.001,0.693,222,aless49,allspw
52.86214,-27.84865,97.2382,58,130.8,4.69,0.002163,15,78,0,0.688,223,aless49,allspw
52.85407,-27.8437,85.316,160.7,202.1,4.66,0.002355,15,85,0,0.672,224,aless49,allspw
52.86183,-27.84971,86.7067,62,115.5,4.59,0.001856,15,112,0,0.634,225,aless49,allspw
52.85182,-27.83459,99.5351,189.4,333.3,4.55,0.002415,15,137,0,0.612,226,aless49,allspw
52.85627,-27.84818,98.6913,132.8,137.6,4.55,0.002244,15,139,0,0.612,227,aless49,allspw
52.95161,-27.73782,84.2344,111.6,614.4,5.67,0.004415,13,0,0.237,0.871,228,aless51,spw1719
52.92687,-27.74565,85.7502,828.1,358.2,5.58,0.003316,7,1,0.167,0.986,229,aless51,spw1719
52.93208,-27.74086,84.2969,677.5,515.2,5.58,0.002068,3,2,0.167,0.623,230,aless51,spw1719
52.9472,-27.73953,85.5627,239.2,558.4,5.56,0.00205,3,3,0.154,0.604,231,aless51,spw1719
52.9365,-27.74172,87.3754,549.3,486.8,5.41,0.003629,9,4,0.076,0.682,232,aless51,spw1719
52.94849,-27.74211,84.5157,202.2,474,5.4,0.003226,7,5,0.072,0.925,233,aless51,spw1719
52.92859,-27.75189,87.4066,778.6,154.1,5.3,0.004693,15,6,0.041,0.712,234,aless51,spw1719
52.94182,-27.7467,84.5469,395.4,323.8,5.27,0.004755,15,7,0.034,0.679,235,aless51,spw1719
52.93277,-27.72903,84.7344,657.5,902.3,5.23,0.00322,7,11,0.027,0.769,236,aless51,spw1719
52.93893,-27.7543,86.5315,478.8,75.1,5.17,0.004972,19,13,0.018,0.747,237,aless51,spw1719
52.94496,-27.73301,87.266,304.4,771.9,5.08,0.00488,19,25,0.009,0.704,238,aless51,spw1719
52.93783,-27.74109,86.4847,510.9,507.6,5.01,0.004875,19,29,0.006,0.667,239,aless51,spw1719
52.94196,-27.73521,87.4848,391.1,699.9,4.89,0.004949,19,53,0.002,0.602,240,aless51,spw1719
52.93549,-27.72965,85.8596,578.5,881.8,4.89,0.004719,19,51,0.002,0.602,241,aless51,spw1719
52.937,-27.7403,97.6415,535,533.4,6.15,0.002949,5,0,0.808,0.997,242,aless51,spw2123
52.93681,-27.73884,97.6415,540.3,581.2,6.09,0.003509,7,1,0.77,1,243,aless51,spw2123
52.94024,-27.73993,97.6258,440.9,545.6,5.94,0.002821,5,2,0.658,0.967,244,aless51,spw2123
52.93469,-27.74471,98.626,601.7,388.9,5.89,0.004489,11,3,0.617,0.983,245,aless51,spw2123
52.93893,-27.74125,97.6258,478.8,502.3,5.89,0.003364,7,4,0.617,0.979,246,aless51,spw2123
52.92868,-27.74426,96.9695,775.8,403.7,5.88,0.004281,11,5,0.609,0.981,247,aless51,spw2123
52.93659,-27.74174,96.9695,546.8,486.3,5.78,0.004605,13,7,0.522,0.804,248,aless51,spw2123
52.93751,-27.74095,97.6415,520,512.1,5.78,0.003821,9,6,0.522,0.903,249,aless51,spw2123
52.9352,-27.73933,99.5011,586.9,565.2,5.72,0.003561,7,8,0.469,0.698,250,aless51,spw2123
52.93634,-27.74035,96.9539,553.9,531.6,5.65,0.004141,11,9,0.408,0.9,251,aless51,spw2123
52.93804,-27.7412,96.9851,504.8,503.8,5.61,0.004053,11,10,0.374,0.874,252,aless51,spw2123
52.93745,-27.7408,96.9695,521.8,516.9,5.56,0.003628,9,11,0.333,0.775,253,aless51,spw2123
52.93572,-27.73961,97.6258,571.8,556,5.56,0.003647,9,12,0.333,0.775,254,aless51,spw2123
52.9356,-27.74531,98.6416,575.3,369.3,5.49,0.003766,9,15,0.279,0.72,255,aless51,spw2123
52.93798,-27.74342,97.6571,506.4,431.2,5.44,0.003639,9,16,0.243,0.678,256,aless51,spw2123
