RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
53.15094,-27.58262,97.7665,555.5,480.2,8.91,0.009112,19,45,1,1,136,aless62,spw2123
53.14974,-27.58122,97.7509,590.3,526.1,7.77,0.007032,15,46,1,1,137,aless62,spw2123
53.15322,-27.5823,97.6883,489.5,490.6,6.31,0.002224,3,47,0.995,0.997,138,aless62,spw2123
53.15913,-27.58604,87.0472,318,368.3,6.08,0.00493,15,0,0.908,0.915,139,aless62,spw1719
53.21772,-27.59059,84.6876,514.4,514.3,10.18,0.007162,9,0,1,1,140,aless65,spw1719
53.21783,-27.5906,84.5782,511.2,513.9,7.36,0.007598,19,1,1,1,141,aless65,spw1719
53.2181,-27.58463,84.7813,503.5,709.2,6.12,0.003109,5,2,0.757,0.958,142,aless65,spw1719
53.3857,-27.90539,97.3601,436.6,423,11.48,0.00642,7,0,1,1,143,aless66,spw2123
53.38384,-27.90375,97.3445,490.1,476.9,11.33,0.006412,7,1,1,1,144,aless66,spw2123
53.38587,-27.90331,97.3445,431.7,491.3,11.18,0.007273,9,2,1,1,145,aless66,spw2123
53.38268,-27.90063,97.3601,523.8,579.1,11.14,0.007205,9,3,1,1,146,aless66,spw2123
53.38333,-27.90276,97.3601,505.1,509.1,11.13,0.005102,5,4,1,1,147,aless66,spw2123
53.38385,-27.90473,97.3758,490.1,444.6,10.68,0.005931,7,5,1,1,148,aless66,spw2123
53.38401,-27.90232,97.3601,485.2,523.8,10.59,0.007666,11,6,1,1,149,aless66,spw2123
53.383,-27.90193,97.3758,514.4,536.5,10.58,0.00681,9,7,1,1,150,aless66,spw2123
53.38307,-27.90525,97.3289,512.7,427.6,10.25,0.008073,13,8,1,1,151,aless66,spw2123
53.38508,-27.90494,97.3758,454.5,437.8,10.23,0.004652,5,9,1,1,152,aless66,spw2123
53.38342,-27.90581,97.3445,502.5,409.5,10.12,0.00799,13,10,1,1,153,aless66,spw2123
53.38628,-27.90445,97.3758,419.6,453.9,10.1,0.007281,11,11,1,1,154,aless66,spw2123
53.38177,-27.89934,97.3133,550,621,9.67,0.008215,15,12,1,1,155,aless66,spw2123
53.38068,-27.90397,97.3133,581.7,469.5,9.55,0.004425,5,13,1,1,156,aless66,spw2123
53.38447,-27.90357,97.3289,472.1,482.8,9.5,0.003178,3,14,1,1,157,aless66,spw2123
53.38084,-27.90341,97.2976,577,487.8,9.3,0.007323,13,15,1,1,158,aless66,spw2123
53.38495,-27.9026,97.2976,458,514.5,9.3,0.00667,11,16,1,1,159,aless66,spw2123
53.38095,-27.90021,97.3133,574,592.8,9.22,0.008352,17,17,1,1,160,aless66,spw2123
53.37948,-27.90418,97.2976,616.3,462.6,9.12,0.00825,17,18,1,1,161,aless66,spw2123
53.38463,-27.89932,97.282,467.4,621.9,8.98,0.0081,17,19,1,1,162,aless66,spw2123
53.38109,-27.90284,97.3445,569.7,506.6,8.94,0.008102,17,20,1,1,163,aless66,spw2123
53.38594,-27.90232,97.3914,429.4,523.6,8.65,0.003937,5,21,1,1,164,aless66,spw2123
53.38247,-27.90306,97.282,529.8,499.5,8.27,0.005884,11,22,1,1,165,aless66,spw2123
53.38351,-27.90198,97.2508,499.8,534.8,7.95,0.007576,19,23,1,1,166,aless66,spw2123
53.3822,-27.90506,97.407,537.6,434.1,7.59,0.00484,9,24,1,1,167,aless66,spw2123
53.38346,-27.9027,97.2508,501.4,511.2,7.54,0.006777,17,25,1,1,168,aless66,spw2123
53.38516,-27.9025,97.4539,452.2,517.7,7.19,0.006977,19,26,1,1,169,aless66,spw2123
53.3833,-27.90338,97.2351,505.8,488.9,7.18,0.0068,19,27,1,1,170,aless66,spw2123
53.38487,-27.90343,97.4383,460.5,487.4,7.13,0.006479,17,28,1,1,171,aless66,spw2123
53.38499,-27.90411,97.4539,457,465,6.66,0.006059,17,29,0.998,1,172,aless66,spw2123
53.38387,-27.90304,97.4695,489.4,499.9,6.57,0.006387,19,30,0.994,1,173,aless66,spw2123
53.38699,-27.91523,85.297,399.2,101,6.14,0.004924,11,0,0.863,0.996,174,aless66,spw1719
53.39589,-27.9109,84.9219,141.7,242.7,6.05,0.003136,5,1,0.766,1,175,aless66,spw1719
53.23729,-28.01693,103.6325,514.3,510.9,14.71,0.020075,19,0,1,1,176,aless6,spw2123
53.2373,-28.01688,103.5231,513.9,512.4,11.34,0.015151,19,1,1,1,177,aless6,spw2123
53.23728,-28.01691,103.7419,514.6,511.5,9.9,0.013449,19,2,1,1,178,aless6,spw2123
53.23732,-28.01691,103.4137,513.5,511.4,7.19,0.009729,19,3,0.997,1,179,aless6,spw2123
53.27353,-27.55791,97.9448,194.1,169.7,13.61,0.019295,11,0,1,1,180,aless71,allspw
53.27351,-27.55791,98.0542,194.4,169.7,10.23,0.017474,19,1,1,1,181,aless71,allspw
53.27359,-27.55795,97.8354,193.5,169.1,10.16,0.018476,19,2,1,1,182,aless71,allspw
53.27369,-27.558,97.7261,192.2,168.4,5.83,0.009995,19,5,0.732,1,183,aless71,allspw
52.86326,-27.93091,97.3475,178.9,197.6,27.3,0.016376,13,0,1,1,184,aless75,allspw
52.8633,-27.93093,97.2381,178.4,197.2,21.7,0.013495,19,1,1,1,185,aless75,allspw
52.86321,-27.93089,97.4569,179.5,197.8,21.22,0.013288,19,2,1,1,186,aless75,allspw
52.85311,-27.92791,98.6757,308,240.7,7.72,0.00146,3,3,1,1,187,aless75,allspw
52.86321,-27.93084,97.5663,179.5,198.6,7.28,0.003839,19,4,1,1,188,aless75,allspw
53.21193,-27.52823,104.3276,192.3,198.9,12.16,0.009057,17,0,1,1,189,aless87,allspw
53.21193,-27.52824,104.437,192.3,198.7,10.63,0.008106,19,1,1,1,190,aless87,allspw
53.21194,-27.52823,104.2183,192.2,199,8.38,0.006552,19,2,1,1,191,aless87,allspw
53.21853,-27.5303,104.3276,108,169.1,8.25,0.004878,11,3,1,1,192,aless87,allspw
53.21192,-27.52826,104.5464,192.4,198.4,6.26,0.004428,19,4,0.959,1,193,aless87,allspw
53.22187,-27.52556,103.8901,65.4,237.4,5.83,0.003181,13,5,0.683,0.886,194,aless87,allspw
53.21847,-27.53028,104.437,108.8,169.4,5.82,0.004443,19,6,0.673,0.992,195,aless87,allspw
52.97842,-27.89482,104.4607,506,514.1,10.89,0.010594,19,0,1,1,196,aless88,spw2123
52.97844,-27.89477,104.5701,505.4,515.8,9.35,0.007983,15,1,1,1,197,aless88,spw2123
52.97827,-27.89489,104.3513,510.1,511.9,8.95,0.004064,5,2,1,1,198,aless88,spw2123
52.97895,-27.89348,104.0857,490.7,558.1,6.49,0.00474,11,3,0.941,0.997,199,aless88,spw2123
52.97189,-27.90284,102.5542,694.8,251.8,6.05,0.003313,7,4,0.788,0.943,200,aless88,spw2123
